## Generated from BK dipole with initial condition: MVe model, Qs0^2 = 5.964278e-02, e_c = 2.777157e+01, C^2 = 6.507842e+00, sigma0/2 = 1.494512e+01
## Fitted to file /home/caaucasu/sidis_fit/data/dipole/posterior/LOmvefit/27.dat
## Note definition of log S(k): log_S(k) = log10 S(k) = log10 [ \int r dr J0(k r) (1 - N(r)) ]
## log10 k grid ranges from -2 to 2 with 500 points
## y grid ranges from 0 to 8.0 with 100 points
y log10_k log10_S(k)
0.000000e+00 -2.000000e+00 8.880877e-01
0.000000e+00 -1.991984e+00 8.880861e-01
0.000000e+00 -1.983968e+00 8.880898e-01
0.000000e+00 -1.975952e+00 8.880969e-01
0.000000e+00 -1.967936e+00 8.881059e-01
0.000000e+00 -1.959920e+00 8.881153e-01
0.000000e+00 -1.951904e+00 8.881236e-01
0.000000e+00 -1.943888e+00 8.881301e-01
0.000000e+00 -1.935872e+00 8.881340e-01
0.000000e+00 -1.927856e+00 8.881349e-01
0.000000e+00 -1.919840e+00 8.881326e-01
0.000000e+00 -1.911824e+00 8.881275e-01
0.000000e+00 -1.903808e+00 8.881196e-01
0.000000e+00 -1.895792e+00 8.881094e-01
0.000000e+00 -1.887776e+00 8.880973e-01
0.000000e+00 -1.879760e+00 8.880839e-01
0.000000e+00 -1.871743e+00 8.880697e-01
0.000000e+00 -1.863727e+00 8.880549e-01
0.000000e+00 -1.855711e+00 8.880399e-01
0.000000e+00 -1.847695e+00 8.880249e-01
0.000000e+00 -1.839679e+00 8.880101e-01
0.000000e+00 -1.831663e+00 8.879954e-01
0.000000e+00 -1.823647e+00 8.879808e-01
0.000000e+00 -1.815631e+00 8.879663e-01
0.000000e+00 -1.807615e+00 8.879517e-01
0.000000e+00 -1.799599e+00 8.879368e-01
0.000000e+00 -1.791583e+00 8.879215e-01
0.000000e+00 -1.783567e+00 8.879056e-01
0.000000e+00 -1.775551e+00 8.878891e-01
0.000000e+00 -1.767535e+00 8.878719e-01
0.000000e+00 -1.759519e+00 8.878538e-01
0.000000e+00 -1.751503e+00 8.878350e-01
0.000000e+00 -1.743487e+00 8.878152e-01
0.000000e+00 -1.735471e+00 8.877946e-01
0.000000e+00 -1.727455e+00 8.877732e-01
0.000000e+00 -1.719439e+00 8.877509e-01
0.000000e+00 -1.711423e+00 8.877278e-01
0.000000e+00 -1.703407e+00 8.877037e-01
0.000000e+00 -1.695391e+00 8.876789e-01
0.000000e+00 -1.687375e+00 8.876531e-01
0.000000e+00 -1.679359e+00 8.876263e-01
0.000000e+00 -1.671343e+00 8.875986e-01
0.000000e+00 -1.663327e+00 8.875699e-01
0.000000e+00 -1.655311e+00 8.875401e-01
0.000000e+00 -1.647295e+00 8.875092e-01
0.000000e+00 -1.639279e+00 8.874772e-01
0.000000e+00 -1.631263e+00 8.874439e-01
0.000000e+00 -1.623246e+00 8.874093e-01
0.000000e+00 -1.615230e+00 8.873735e-01
0.000000e+00 -1.607214e+00 8.873363e-01
0.000000e+00 -1.599198e+00 8.872977e-01
0.000000e+00 -1.591182e+00 8.872577e-01
0.000000e+00 -1.583166e+00 8.872161e-01
0.000000e+00 -1.575150e+00 8.871730e-01
0.000000e+00 -1.567134e+00 8.871282e-01
0.000000e+00 -1.559118e+00 8.870818e-01
0.000000e+00 -1.551102e+00 8.870336e-01
0.000000e+00 -1.543086e+00 8.869837e-01
0.000000e+00 -1.535070e+00 8.869318e-01
0.000000e+00 -1.527054e+00 8.868780e-01
0.000000e+00 -1.519038e+00 8.868222e-01
0.000000e+00 -1.511022e+00 8.867642e-01
0.000000e+00 -1.503006e+00 8.867041e-01
0.000000e+00 -1.494990e+00 8.866418e-01
0.000000e+00 -1.486974e+00 8.865771e-01
0.000000e+00 -1.478958e+00 8.865099e-01
0.000000e+00 -1.470942e+00 8.864402e-01
0.000000e+00 -1.462926e+00 8.863679e-01
0.000000e+00 -1.454910e+00 8.862929e-01
0.000000e+00 -1.446894e+00 8.862151e-01
0.000000e+00 -1.438878e+00 8.861343e-01
0.000000e+00 -1.430862e+00 8.860505e-01
0.000000e+00 -1.422846e+00 8.859636e-01
0.000000e+00 -1.414830e+00 8.858734e-01
0.000000e+00 -1.406814e+00 8.857798e-01
0.000000e+00 -1.398798e+00 8.856826e-01
0.000000e+00 -1.390782e+00 8.855819e-01
0.000000e+00 -1.382766e+00 8.854773e-01
0.000000e+00 -1.374749e+00 8.853688e-01
0.000000e+00 -1.366733e+00 8.852562e-01
0.000000e+00 -1.358717e+00 8.851394e-01
0.000000e+00 -1.350701e+00 8.850182e-01
0.000000e+00 -1.342685e+00 8.848924e-01
0.000000e+00 -1.334669e+00 8.847619e-01
0.000000e+00 -1.326653e+00 8.846265e-01
0.000000e+00 -1.318637e+00 8.844860e-01
0.000000e+00 -1.310621e+00 8.843402e-01
0.000000e+00 -1.302605e+00 8.841889e-01
0.000000e+00 -1.294589e+00 8.840320e-01
0.000000e+00 -1.286573e+00 8.838691e-01
